,date,days_since_start,cases,cases_increase,7_day_cases,14_day_cases,42_day_cases,cases_pct_inc,deaths,deaths_increase,deaths_pct_inc,7_day_deaths,42_day_deaths,14_day_deaths
0,2020-01-21,1,1,0,,,,0.0,0,0,0.0,,,
1,2020-01-22,2,1,0,,,,0.0,0,0,0.0,,,
2,2020-01-23,3,1,0,,,,0.0,0,0,0.0,,,
3,2020-01-24,4,2,1,,,,100.0,0,0,0.0,,,
4,2020-01-25,5,3,1,,,,50.0,0,0,0.0,,,
5,2020-01-26,6,5,2,,,,66.67,0,0,0.0,,,
6,2020-01-27,7,5,0,0.5714285714285714,,,0.0,0,0,0.0,0.0,,
7,2020-01-28,8,5,0,0.5714285714285714,,,0.0,0,0,0.0,0.0,,
8,2020-01-29,9,5,0,0.5714285714285714,,,0.0,0,0,0.0,0.0,,
9,2020-01-30,10,6,1,0.7142857142857143,,,20.0,0,0,0.0,0.0,,
10,2020-01-31,11,7,1,0.7142857142857143,,,16.67,0,0,0.0,0.0,,
11,2020-02-01,12,8,1,0.7142857142857143,,,14.29,0,0,0.0,0.0,,
12,2020-02-02,13,11,3,0.8571428571428571,,,37.5,0,0,0.0,0.0,,
13,2020-02-03,14,11,0,0.8571428571428571,0.7142857142857143,,0.0,0,0,0.0,0.0,,0.0
14,2020-02-04,15,11,0,0.8571428571428571,0.7142857142857143,,0.0,0,0,0.0,0.0,,0.0
15,2020-02-05,16,12,1,1.0,0.7857142857142857,,9.09,0,0,0.0,0.0,,0.0
16,2020-02-06,17,12,0,0.8571428571428571,0.7857142857142857,,0.0,0,0,0.0,0.0,,0.0
17,2020-02-07,18,12,0,0.7142857142857143,0.7142857142857143,,0.0,0,0,0.0,0.0,,0.0
18,2020-02-08,19,12,0,0.5714285714285714,0.6428571428571429,,0.0,0,0,0.0,0.0,,0.0
19,2020-02-09,20,12,0,0.14285714285714285,0.5,,0.0,0,0,0.0,0.0,,0.0
20,2020-02-10,21,13,1,0.2857142857142857,0.5714285714285714,,8.33,0,0,0.0,0.0,,0.0
21,2020-02-11,22,13,0,0.2857142857142857,0.5714285714285714,,0.0,0,0,0.0,0.0,,0.0
22,2020-02-12,23,14,1,0.2857142857142857,0.6428571428571429,,7.69,0,0,0.0,0.0,,0.0
23,2020-02-13,24,15,1,0.42857142857142855,0.6428571428571429,,7.14,0,0,0.0,0.0,,0.0
24,2020-02-14,25,15,0,0.42857142857142855,0.5714285714285714,,0.0,0,0,0.0,0.0,,0.0
25,2020-02-15,26,15,0,0.42857142857142855,0.5,,0.0,0,0,0.0,0.0,,0.0
26,2020-02-16,27,15,0,0.42857142857142855,0.2857142857142857,,0.0,0,0,0.0,0.0,,0.0
27,2020-02-17,28,25,10,1.7142857142857142,1.0,,66.67,0,0,0.0,0.0,,0.0
28,2020-02-18,29,25,0,1.7142857142857142,1.0,,0.0,0,0,0.0,0.0,,0.0
29,2020-02-19,30,25,0,1.5714285714285714,0.9285714285714286,,0.0,0,0,0.0,0.0,,0.0
30,2020-02-20,31,27,2,1.7142857142857142,1.0714285714285714,,8.0,0,0,0.0,0.0,,0.0
31,2020-02-21,32,30,3,2.142857142857143,1.2857142857142858,,11.11,0,0,0.0,0.0,,0.0
32,2020-02-22,33,30,0,2.142857142857143,1.2857142857142858,,0.0,0,0,0.0,0.0,,0.0
33,2020-02-23,34,30,0,2.142857142857143,1.2857142857142858,,0.0,0,0,0.0,0.0,,0.0
34,2020-02-24,35,43,13,2.5714285714285716,2.142857142857143,,43.33,0,0,0.0,0.0,,0.0
